sMAC,dMAC,typEth,srcIP,dstIP,proto,sPort,dPort,action
00:0b:82:01:fc:42,*,0x0800,*,54.239.27.116,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,176.32.101.122,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,38.229.54.9,17,*,123,forward
00:0b:82:01:fc:42,*,*,*,224.0.0.22,2,*,*,forward
00:0b:82:01:fc:42,*,0x0800,*,239.255.255.250,17,*,1900,forward
00:0b:82:01:fc:42,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,forward
00:0b:82:01:fc:42,*,0x0800,*,3.234.38.31,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,54.239.31.104,6,*,443,forward
*,*,0x0800,*,*,1,*,*,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
*,*,0x0800,*,*,17,*,53,forward
00:0b:82:01:fc:42,*,0x0800,*,52.119.163.117,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,52.94.211.45,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,208.67.220.220,17,*,53,forward
00:0b:82:01:fc:42,*,0x0800,*,52.217.64.252,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,13.35.215.164,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
00:0b:82:01:fc:42,*,0x0800,*,73.239.136.185,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,34.120.225.113,6,*,443,forward
*,*,0x0800,*,*,17,*,67,forward
00:0b:82:01:fc:42,*,0x0800,*,206.81.5.45,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,52.94.241.86,6,*,80,forward
00:0b:82:01:fc:42,*,0x0800,*,3.226.196.104,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,13.35.210.56,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,224.0.0.251,17,*,5353,forward
00:0b:82:01:fc:42,*,0x0800,*,23.23.189.19,17,*,33434,forward
00:0b:82:01:fc:42,*,0x0800,*,13.35.231.106,6,*,443,forward
00:0b:82:01:fc:42,*,0x0800,*,12.167.151.1,17,*,123,forward
00:0b:82:01:fc:42,*,0x0800,*,93.184.216.34,6,*,80,forward
*,00:0b:82:01:fc:42,0x0800,38.229.54.9,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,3.234.38.31,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,13.35.215.164,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,52.94.211.45,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,206.81.5.45,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,54.239.31.104,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,73.239.136.185,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,12.167.151.1,*,17,123,*,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,*,0x0800,*,*,17,67,*,forward
*,00:0b:82:01:fc:42,0x0800,208.67.220.220,*,17,53,*,forward
*,00:0b:82:01:fc:42,0x0800,3.226.196.104,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,52.217.64.252,*,6,443,*,forward
*,*,0x0800,*,*,17,53,*,forward
*,00:0b:82:01:fc:42,0x0800,54.239.27.116,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,34.120.225.113,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,13.35.210.56,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,23.23.189.19,*,17,33434,*,forward
*,00:0b:82:01:fc:42,0x0800,52.94.241.86,*,6,80,*,forward
*,00:0b:82:01:fc:42,0x0800,13.35.231.106,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,176.32.101.122,*,6,443,*,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,*,0x0800,*,*,17,*,50000,forward
*,00:0b:82:01:fc:42,0x0800,93.184.216.34,*,6,80,*,forward
*,00:0b:82:01:fc:42,0x0800,52.119.163.117,*,6,443,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
